[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
智能情绪感知与多表情语音对话机器人,信息技术,东北大学秦皇岛分校,本作品具有自动感知情绪，作出表情，语音对答等功能，实现了生动化、智能化，可以在一定程度上帮助人们排忧解闷，舒缓心情，满足人们的需求。现阶段，玩具市场主要由毛绒玩具与简单电子玩具构成。这样的玩具，大多具有外形生硬，用途单一，非智能化，可操作性差的特点。本作品使用了多种现代新型技术，不仅外形生动，而且对话自如，可操作性强，适应广大群众的消费需求，具有广阔的市场发展前景。
LoveEars--基于移动终端的纯音气导听阈自测平台,信息技术,复旦大学,本项目采用纯音气导听阈测试的方法，利用智能手机的人机交互性，制作出了一款测试特定频率下人耳听阈值的手机软件，并为相应的硬件设施定标，最终依据医学分级标准，使用户能够简单清晰地得到听力情况的初判，便捷地监测自身听力健康。本项目旨在充分利用电子设备的智能化，结合科学的听力测试方法，推广保护听力健康的意识。
“室内导航掌中游”：面向室内地图导航的移动终端三维地理信息系统软件,信息技术,南京师范大学,本作品主要解决了室内复杂环境中的路径规划和导航问题。针对目前室内导航应用中地图示意性差、缺乏路径规划等缺陷，本作品基于安卓平台，将建筑物划分为楼块、楼架和楼层三个细节层次，实现了移动端三维场景的室内导航。此外，软件还实现了基于三维的目标定位、信息查询和场景浏览等功能，和传统二维室内地图相比，在可视化效果、所含盖的信息量等方面都有显著的进步，填补室内三维地图导航核心技术及应用产品的国内领域空白。
基于AHRS和GPS的室内外3D无缝定位及摔倒检测系统,信息技术,山东大学,该作品实时准确地检测老人是否发生意外摔倒，并对摔倒位置精确定位，启动报警装置以获得周围人的援救，同时分别通过短信和网络告知亲属并将信息存入监护站数据库，亲属或监护站人员可以通过手机、电脑等上网设备迅速在卫星地图上看到发生摔倒的具体位置，在第一时间获知状况并进行救援，最大程度地减少了老人、病人等因摔倒而造成的伤害。另外，该作品也可以对盲人、智障、幼儿等特殊人群进行监护。
巷道掘进工作面瞬变电磁超前探水监测系统,数理,安徽理工大学,构建巷道掘进工作面瞬变电磁超前探水监测系统，系统主要包括：井下发射/接收线框，自动化采集站，井下传输系统，地面信息处理系统，预警指导系统。本作品通过对探测装置改进和探测方法创新实现对巷道掘进工作面前方含水情况的不间断探测，提高巷道超前探水预测、预报的分辨能力和时效性，形成有效监测系统。设计对井下巷道掘进工作面实时监测技术的出现具有重要的促进作用。
临床技能教学模拟训练装置,生命科学,南开大学,临床技能教学模拟训练装置涉及两套医学模拟训练产品，分别是外科基础技能综合训练装置和数显张力外科打结训练器。二者设计理念先进，实现了形式和功能的突破，既满足了医学院校对同类医模产品的需求，又对相关前沿领域进行了有益的探索。
新型抗病育苗基质,生命科学,长江大学,新型抗病育苗基质是利用精制棉工厂产生的下脚料及生活污泥，首先进行生物转化（养殖蚯蚓），然后以蚯蚓粪为主料，并加入植物抗病益生菌（相当于从小给植物打一针疫苗，让其对土传病害有免疫能力），复合配制的新型育苗基质。该产品含大量的微量元素和抗病益生菌，有机质含量高达60%。它将生防菌与育苗基质进行有机组合，并改进传统育苗基质的配方，具有育苗效果好、植株生长旺、根系发达、移栽成活率高等特点。
多彩室内冷烟火,能源化工,南京理工大学,冷烟火燃温在600-800℃，相对其他烟火1200-2800℃燃温显得冷，故称为冷烟火。冷烟火燃温低，相对较安全，但目前只有金银两种燃放光色，颜色单调。本小组针对冷烟火开展了基础配方研究，新配方设计，制剂工艺及装药结构优化，新燃料设计、制备与性能研究，产品化研究等工作；研制出8种不同光色的、更安全、更环保的冷烟火，并制备出24种新型合金燃料；公开发表学术论文2篇（EI收录1篇）；申报发明专利2项。
纳米凝胶防伪技术的研制和开发,能源化工,天津工业大学,为快速、准确辨别商品真伪，本作品将不同种类的油墨、无机纳米粒子硅酸镁锂与高吸水性的水凝胶相结合，以期制备得到快速吸水并能迅速膨胀的纳米复合防伪凝胶膜，实现防伪功能的快速识别。将水凝胶这种软湿材料创新地用于防伪领域，操作便捷、易于识别、技术先进、原料易得、无毒无害、难于伪造和防伪效果好等综合优点，克服目前电码和专色印刷等防伪技术存在的防伪成本高、技术复杂、识别繁琐等问题。
一种精准密封瓦斯抽采钻孔周边裂隙的技术及装置,能源化工,中国矿业大学,瓦斯抽采是防治瓦斯灾害的根本性措施。钻孔密封是决定瓦斯抽采效果的关键环节，国内外已有的密封技术主要关注于孔内，忽略了孔外裂隙漏气造成抽采浓度低的问题。为此本作品以提高瓦斯抽采浓度为切入点，利用钻孔探测系统确定裂隙分布，采用气力输运方式，有针对性地向裂隙内输送微细膨胀粉料，粉料在裂隙内运移、沉积、吸湿、凝并，最终有效封堵裂隙漏气通道，从而提高瓦斯抽采浓度。
纳米阵列太阳能电池,能源化工,辽宁工业大学,染料敏化太阳能电池（DSSC）是上世纪90年代出现的一种新型太阳能电池，该电池制备工艺简单、原料易得、性能稳定，环境友好、易于自动化、适于大规模生产。传统染料敏化太阳能电池由于光阳极材料的结构特点制约了其光电转换效率，而本作品通过技术手段，改变光阳极材料结构，从而提高染料敏化太阳能电池的光电转换效率
前沿LED照明技术的探索,能源化工,东华大学,新型荧光材料的开发是白光LED进入通用照明领域的核心与关键。荧光玻璃是替代目前大功率白光LED用荧光粉和环氧树脂封装的最好选择。本项目首次采用SPS烧结技术成功制备出光效43.4lm/W，量子产率42.7%的YAG荧光玻璃，达到国际同类领先水平。在LED封装环节，设计了荧光玻璃与LED芯片封装原型，并在此基础上开发了各类LED灯具。综上，本项目对大功率LED的研究进展具有重要意义。
超细晶构筑引导石墨烯包覆,能源化工,吉林大学,该作品巧妙地利用纳米颗粒自组装的特性，将纳米颗粒引入到石墨烯纳米层表面，为石墨烯包覆过程引入“眼睛”，当纳米颗粒相互吸附团聚时引导石墨烯均匀包覆到团聚产物表面。电流密度为1A/g时，200次循环后容量为1421mAh/g，属同类材料目前国际报道最高值。该设计已申请国家发明专利3项，在锂离子电池、功能材料等领域有应用前景。
细胞机器人,机械与控制,北京航空航天大学,可变形细胞机器人是一种可重构模块化机器人。单个模块犹如细胞一样。机器人可根据不同需求，通过模块的组装和拼接进行“增殖”和“分化”演化出各种复杂功能。
自支撑搅拌摩擦焊接新方法及焊具设计,机械与控制,哈尔滨工业大学,本作品基于如何克服中空型材结构在无刚性垫板支撑条件下常规搅拌摩擦焊技术难以焊接、传统MIG方法焊接变形大以及双轴肩自持式搅拌摩擦焊焊接过程中热输入大导致接头的机械性能降低和需要设置导引孔与导出孔使得操作过程复杂的问题，通过环保型中空结构背部自支撑搅拌摩擦焊新方法，利用倾角可调且呈上凹下凸的轴肩，实现了中空型材结构在背部自支撑条件下的固相连接。
新型四通双向水体交换式节水楼顶水箱,机械与控制,上海工程技术大学,项目就目前楼顶水箱清洗耗水量过大、水二次污染、清洗非自动化、清洗过程需停水设计的全新二次供水系统。通过自动化机械控制实现了清洗水箱时水不间断供应，降低了清洗水量，对比目前楼顶水箱，节约清洗用水达78.4%；基于对水质的实时监测，实时分析数据并报警，辅助于基于物联网的控制监控系统，第一时间控制系统对受污染水箱进行自动清洗。本项目拥有以学生为第一作者的5项专利，并已经和相关企业达成了合作意向。
基于猫下落转体原理的仿生机器人,机械与控制,北京航空航天大学,目前跑跳攀爬类仿生机器人多数模仿动物的四肢动作而忽略了腰部结构的功能设计，而实际上动物的腰部结构在姿态调节上发挥着重要作用。目前的仿生机器人在实现跑跳攀爬动作的同时面临着摔落、跌倒等紧急情况下姿态调整的难题。本项目通过对猫自由下落时通过腰部结构调整姿态的研究，设计制作了仿猫自由下落转体的仿生机器人样机。
新型固定翼直升机复合式飞行器,机械与控制,北京航空航天大学,复合式直升机兼具悬停和高速飞行的能力。常规直升机，由于旋翼的气流不对称，使得前飞最大速度受到前行桨叶压缩性影响及后行桨叶气流分离的限制；固定翼飞机则无法完成悬停和低速飞行。本小组设计了一种新型的固定翼直升机复合式飞行器。直升机模式，用旋翼垂直起降，切换平飞模式后旋翼锁定，变为双翼固定翼，高速飞行。根本上的解决了旋翼的气流不对称对速度的限制，兼具高速和高机动性。
以步行姿态驱动的虚拟现实漫游控制系统,机械与控制,同济大学,本作品在现有环幕式虚拟现实系统的基础上，替换其漫游控制系统，即保留其360度环抱式视听系统以极低的成本增加了支持全方位行走的步行平台和具有步行姿态判读能力的摄像头识别系统。在两者的共同作用下，可以实现由用户的真实步行姿态控制虚拟场景的漫游。同时，以步行时的心率作为换算基准，将设备上的步行速度转换成虚拟场景中的移动速度，从而为用户提供了真实的方向感和距离疲劳感。突破虚拟现实在环境设计领域的应用局限。
3D实时扫描仪,机械与控制,西安交通大学,本项目研制了一种高精度全场3D实时扫描仪，其采用三频彩色光栅投影和二维经验模式分解技术，以光栅投影和立体视觉的融合为基础方法，只需要单幅曝光就可以实现动态物体和场景的三维重建。基于相位的优化匹配算法可实现最高0.01mm三维扫描精度，视场范围0.2-5m，3D实时重建速度达到25帧/秒。
一种汽车机械自救装置的发明设计,机械与控制,长春大学,汽车绞盘是一种利用自身动力绞盘电机旋转，通过另外一端的固定或者牵引的钢绳或者特殊索带把陷在困境中的汽车拉出来的一种工具，是汽车自救必备的工具之一，是不可缺少的安全装置。市场上的现有绞盘具有缺点，不能广泛使用。基于现有的绞盘对于中小型车主来说，存在体积大、价格昂贵、等不便因素，本装置旨在发明一种完全依靠自身机械动力、价格低廉、体积小重量轻、左右轮通用的家用中小型汽车自救装置。
力挽狂澜——独立式电梯快速响应安全防护系统,机械与控制,中国人民解放军军械工程学院,一种垂直升降电梯的快速响应安全防护系统，由卷杨轮限速模块、轿厢断绳制动装置和分级防墩底模块实现三重防护。卷杨轮限速模块位于井道顶部，应对超速事故；轿厢断绳制动装置安装在轿厢顶部及两侧，应对缆绳断裂及松动等情况；分级防墩底模块安装在井道底部，应对轿厢蹲底的情况。本实用新型的优点是采用模块化设计，独立于现有系统，不需要对现有电梯重新设计，便于推广。
分级式可控全长注浆锚杆,机械与控制,安徽理工大学,本作品是一种新型注浆锚杆，主要由螺母、托盘、杆体、止浆塞、膨胀止水条、可控注浆孔等部件组成。注浆时通过可控注浆孔逐个开放，并配合膨胀止水条实现分级可控注浆，力求达到注浆压力可控、浆液分布均匀、锚杆受力强、锚杆与围岩相互作用实现最佳的效果。主要技术特点：①注浆时可有效控制注浆饱满度，保证设计要求的有效锚固长度；②可控制注浆压力使浆体充入杆体周围围岩裂隙中，进一步加固杆体周边松散岩体。
机械增压式发动机新型动力传动装置和喷油量匹配技术研究,机械与控制,燕山大学,作品简介：发动机运转过程中，进气量因外界因素受到限制时，输出功率和转矩明显下降，导致发动机动力不足。为解决这一问题本课题组选用自然吸气式JH600单缸发动机为研究对象，进行机械增压改造，以提高进气量进而提升发动机动力。项目具体实施步骤：对原发动机测试获取数据；增压器传动比理论计算；开发增压进气系统；开发发动机外挂式电控单元和双喷油系统；搭建台架试验台；喷油量匹配试验。
吸盘式家具搬运器,机械与控制,西南交通大学,现在家具逐步趋向于笨重化、贴地式，鉴于这种现象，本产品利用吸盘在家具侧面吸附，圆柱凸轮机构快速提升来方便快捷平稳地实现搬运家具这一功能。
十字型应变式动态土压力无线实时监测系统,机械与控制,浙江大学,“十字型应变式动态土压力无线实时监测系统”能准确测量刚性、柔性以及半刚性荷载下的土压力值，并对快速变化的动态荷载作出及时响应，也能对竖向以及纵向土压力进行同步测量。除此之外将传统的土压力测试技术与无线传输技术相结合，提高测试效率，实现智能化全天候监测效果。产品包括应变轴式土压力传感器、应变梁式土压力传感器、无线传输系统与实时监测系统四个部分。
混合磁流体研磨试验装置设计开发,机械与控制,武汉理工大学,混合磁流体研磨是一种新型柔性研磨方法，目前该技术仍处于试验研究阶段。为针对多种材料开展研磨机理、研磨液特性和研磨工艺参数的试验研究，设计开发适用于多种材料的混合磁流体研磨试验装置，采用模块化设计方法，可实现多试验参数准确调整；提出一种动态磁场研磨方法，试验表明，该方法可有效提高研磨加工效率。试验成果可为混合磁流体研磨理论研究提供基础，且可为混合磁流体研磨技术走向市场做出前期探索。
高效太阳能动力飞机,机械与控制,西安交通大学,在如今能源紧缺，环境污染的大背景下，太阳能作为一种可再生清洁能源，经济且环保。同时还能延长无人机续航能力。国内外的太阳能飞机发展却并不理想，问题主要在于太阳能转化效率低，本项目旨在优化太阳能飞机的续航能力，提高能量的利用率及其起飞性能。使太阳能飞机能更好的为人类所用。该飞行器能在阳光照度为14000LUX（阴天）滑跑起飞，滑跑距离小于50米，并在纯太阳能供能（不提供附加储能设备）下留空8小时以上。
颜料自动调配装置,机械与控制,河北工业大学,本颜色识别配比装置包括颜色识别系统，单片机处理系统，电磁阀执行系统，电阻传感器反馈系统等组成的一种自动化系统，本装置可实现颜色的精确识别并快速自动配制，操作简便，自动化程度高，效率高，具有良好的市场前景。其大型设备可用于家居装修颜料调配、大型工程颜料调配，自动化程度高，效率高；小型便携设备可用于家具表面漆脱落后的修补，墙面或设备表面上的小广告清除后表面颜色的修补。
桌面式3D打印机研制及应用,机械与控制,东莞理工学院,桌面式3D打印机研制实现了小型化、精度适中、大众化等优势，源自美国Makerbot公司开源技术，自主设计外观，调整参数，打印体积为120mm*120mm*120mm，精度为0.2mm，速度优于30mm/s，打印材料为ABS/PLA，亚克力外壳，不易变形，敞开式设计易观察、散热，装料方便，使产品性能、价格更优。已与东莞市横沥镇达成合作意向，为该镇申办广东省模具产业3D打印技术公共服务平台提供了支撑。
半自主运行的远程体感控制服务机器人系统,机械与控制,西安电子科技大学,本项目设计了一个上半身类人，下半身为两轮平衡轮式底盘的仿人型机器人，其主体采用3D打印加工。通过互联网，使用者只要坐在安装有Kinect传感器的电脑前，与机器人取得通信后，便可以自然的方式远程控制机器人的行为。例如你挥一挥手，机器人也会在千里之外和你做出相同的动作。同时使用者可以清晰的获得机器人端的画面和声音。为了减少使用者的操作复杂性，机器人还安装有Kinect，用来实时创建地图以实现自主移动。
华夏留影--自主学习的皮影表演设备,机械与控制,西安电子科技大学,针对皮影戏这一国家非物质文化遗产逐步淡出人们视线的现状，以唤回人们对皮影的关注为目的，设计了皮影表演设备这一智能系统。该系统将现代机电一体化技术、计算机技术与传统皮影艺术相结合，依托于自主设计的机械臂系统与开发的基于计算机视觉的皮影戏自主学习系统来呈现皮影戏唯美动人的画面。作品旨在结合陕西区域特色的基础上，促进人类非物质文化遗产的传承与保护。作品适用于博物馆、科技展览厅等各类文化宣传场所。
饮水思源—基于帕尔贴效应的空气制水设备,机械与控制,中国人民解放军军械工程学院,本作品是基于帕尔贴效应和模块化设计思想，用于灾后应急、野外工作、单兵作战、海岛舰船、日常用水等的小型化、低功耗、便携式空气制水设备。由空气流速控制、预冷、产水、集水、程控五大模块组成。该作品单模块尺寸为：120mm*250mm*250mm；功率为：100W；产水效率为：6L/天（空气温度：18℃~35℃；相对湿度：32%），并设有可用于模块组合的快速接口。
新型水射流粉碎废旧轮胎的装置,机械与控制,安徽理工大学,本作品是基于高压水射流技术粉碎废旧子午线轮胎的装置。该装置结构简单，主要由第一粉碎室、第二粉碎室、电动机、胶粉回收槽四部分组成。利用高压水射流具有良好的解离性直接带走轮胎上的橡胶，在降低粉碎能耗的同时，还可制备高质量的超细胶粉而不损伤增强的钢丝与帘布，具有结构简单、制造方便、占地面积小等优点，是一种高效、清洁、能耗低的新型粉碎废旧轮胎的装置。
三维可视化微米级粗糙度测试仪,机械与控制,海南大学,通过计算机整合软硬件资源制作精良实用的微米级粗糙度测试仪。利用计算机控制电磁铁带动探针驱动光杠杆进行微小信号光学放大；利用计算机控制步进电机及探针结构实现探针精确定位；利用OpenGL进行三维化展示，显示出被测物表面形貌。本测试系统的探针定位精度为0.25μm，粗糙度测试精度为4μm。
轿车电磁制动与摩擦制动集成系统,机械与控制,江苏大学,传统的汽车摩擦制动器在频繁制动时热衰退性明显，严重时可造成制动器失效，且摩擦制动器会产生粉尘和噪声，污染环境。本作品提出并研究了电磁制动与摩擦制动集成系统。电磁制动属于非接触式涡流制动，反应速度快，承担部分车辆制动力，减小了摩擦制动器使用强度和使用次数，使摩擦制动器的热衰退性得到改善，并延长了摩擦制动器的使用寿命；在紧急制动时，电磁制动与摩擦制动联合作用，提高了汽车的安全性、经济性和环保性。
新型感应溢流节流水龙头,机械与控制,重庆科技学院,本产品通过改进节水水龙头内部结构，巧妙地实现了在截留面积不变的前提下降低终端压力，有效克服了目前节水水龙头终端水压过大或截留面积减小、不仅浪费水资源而且在用户用水过程中水花外溅的缺点。本产品的旁通结构能极大改变出水速度，避免了普通节水水龙头只能节水不能快速出水的缺点，能极大满足各种场所的用水需求，节水效果突出。我国属缺水国，节水水龙头的研究是非常具有实际应用前景的。
全自动快速脱缆装置,机械与控制,盐城工学院,全自动快速脱缆装置针对不同吨位船舶系泊领域落后的脱缆方式作出革新，实现智能、快速、自动脱钩。创新点：1、采用两级杠杆原理，用较小气缸压力平衡缆绳拉力；2、采用逆平衡原理实现缆钩自动复位；3、采用单片机控制，利于设备小型化；4、过渡连接件与支承架通过竖向轴连接，可更换角度，适应性强；5、正常工作状态，可实现远程中央集控和无线分散控制；6、脱钩拉力可调，紧急情况下，拉力达到设定值时，可自动脱钩。
基于模型车的汽车智能安全防护及辅助驾驶系统研究,机械与控制,深圳大学,经济发展是的车辆越来越多，本项目旨在提升车辆运行安全性与驾驶舒适感。采用提前预测、全方位防护的手段保护驾驶员的安全；并利用各式传感器检测路面情况，从而辅助驾驶员驾驶。
新型鞋子杀菌除臭器的研制,机械与控制,北京化工大学,针对生活中人们因鞋内细菌滋生且有臭味，并易引发足部疾病而研发的新型鞋子除臭杀毒器，能有效实现对鞋子内部的干燥、杀菌和除臭。新型鞋子杀菌除臭器采用电阻丝加热空气对鞋子进行干燥；通过活性炭吸附和碳酸纤维（CA)膜材料吸附异味气体；利用绕在通风管外侧的紫外LED二极管产生紫外线对鞋子内部进行360度无死角杀菌消毒。
玉米旋耕覆膜播种一体机,机械与控制,宁夏大学,目前我国地膜玉米耕作工序繁杂，造成了农民劳动强度高，耕作效率低、种植成本高等问题。针对这些问题，我们提出了用新型一体机来完成种植作业的方案。通过不断研究和试验，对相关农业机械进行前期设计和后期整合制作出玉米旋耕覆膜播种一体机。它可以完成玉米种植的灭茬、松土、整形、起垄、覆膜、播种、覆土工序。最后，该样机显实验数据也验证了能达到地膜玉米种植的各项农艺要求，且比传统耕作节省成本的结果，达到了预期目的。
基于全向轮的智能移动平台设计,机械与控制,四川理工学院,在深入分析国内外的现状后，我们设计出了具有全向任意角度平移或回转、远距离无线遥控、远距离无线视频监控、智能避障、多种数据采集、及时报警即时信息通信、可实现环境3D模型重建等功能的智能移动平台。该平台使用全向轮驱动本系统在超低功耗高性能单片机MSP430单片机的基础上进行模块化设计互联，具有良好的第二次开发性。该平台在结构设计上，为第二次开发提供了足够的空间和丰富的接口。
一种能减小冲击电流的三相异步电机快速重合闸装置,机械与控制,中国石油大学(华东),在一些重要的三相异步电机应用场合，当供电中断时，需要快速将其重新投入电源。在此过程中，若电源电压与电机失电残压之间存在较大的相位差，会出现极大的冲击电流，导致重合闸失败，带来重大的经济损失。本项目基于三相异步电机重合闸的动态过程及冲击电流产生的原因，提出了一种新的能减少冲击电流的快速自动重合闸装置及其控制方法。当供电中断时，选择最优相组作为投入点，使电机重新投入电源，大大提高了重合闸效率和成功率。
低成本便携式橡胶树皮厚度电子测量仪的研制,机械与控制,海南大学,本文基于容栅技术的长容栅位移传感器及其测长原理研制出一套电子式树皮厚度测量仪，该测量仪主要由容栅传感器、液晶显示面板、限位套、测尺等部件组成，可用于橡胶、邓恩桉、杜仲等多树种的树皮厚度的测量。实地测量试验表明，本文研制的测量仪具有低成本、便携式、精度高及效率高等特点。经检索，目前国内外尚无同类产品出现，因此该仪器具有广阔的用前景和较大的市场价值。
太阳能聚光光伏发电装置,机械与控制,新疆大学,为提高光伏发电效率，本团队设计制作了这款新型太阳能发电装置。该装置主要可分为发电装置和追踪装置。追踪装置是结构小巧合理、安装快速方便的独立的追踪机构，其球形结构也符合现代的工艺审美要求，在辅助太阳能装置对太阳进行追踪的同时还能通过各种传感器监测装置周围环境并对追踪机构进行自我保护，同时可以控制多个发电装置进行发电。发电装置通过弧形面聚光，不仅节约成本，延长发电时间而且还提高太阳能利用率。
核桃剪切挤压柔性锤击绒辊分离剥壳取仁关键技术与装备,机械与控制,青岛理工大学,此装置设计目的是实现核桃剥壳加工的自动化与高效化。装置包括传送平带剪切挤压破碎系统，二次柔性锤击离心系统，滚筒窝眼振动筛风力分选系统。核桃首先进入平带剪切挤压破碎系统，在剪切挤压力作用下核桃壳破碎；核桃壳仁进入二次柔性锤击离心系统，柔性锤击既实现了壳仁二次分离又保护核桃仁的完整；已分离的核桃壳仁混合物物料进入滚筒窝眼振动筛风力分选系统，在滚筒窝眼、振动筛和风力作用下核桃壳、仁分选。
1GSPS便携式数字示波表,机械与控制,电子科技大学,"随着科技的发展，测试手段的提高,开发人员对示波器的要求越来越高。便携式数字示波表不但具有普通数字示波器的基本功能，而且操作简单，体积小巧，适应于多种工作环境。本作品设计的是1Gsps便携式数字示波表，总体带宽达到200MHz。具有功耗低（能够待机4~7小时），质量轻（1.8Kg），体积小（268×168×60mm），成本低（约4000元），适应于野外恶劣工作环境等特点。"
蓝宝石光纤探针持气率测井仪,机械与控制,燕山大学,在石油开发生产中，多相流中持气率参数检测已成为世界范围内油气田开发动态监测中普遍存在及亟待解决难题。本作品蓝宝石光纤探针持气率测井仪有效解决了现有仪器存在灵敏度低、粘油污、易腐蚀、体积大等诸多问题，实现了对油气田开发动态监测中持气率参数准确测量，同时为石油生产测井特性现状预测、控制及优化生产意义重大。本作品的核心技术已获国家实用新型专利，具有广阔的推广应用前景。
轻巧节能型多级离心泵关键技术研究,机械与控制,江苏大学,近年来，全球淡水资源日益匮乏，我国局部干旱逐年加剧，地下水水位逐渐降低，对多级泵扬程的要求也越来越高。传统多级泵具有体积大、单级扬程低及效率不高的缺点，本团队新设计的轻巧节能型多级泵有效地规避了上述缺陷。为了提高多级泵的单级扬程及实现轴向力自动平衡，首次提出了一种新型斜切叶轮设计方法；为了保证多级离心泵仍有高效率指标，创新地设计出一种更符合液体流动趋势的反导叶。本作品具有明显的节能节材效果。
非开挖钻机虚拟现实实训及远程监控系统开发,机械与控制,中国地质大学(武汉),本项目源于毕业设计，兴于学生科技，用于生产实际，主要研究非开挖钻机虚拟现实实训及远程监控系统，具体分为虚拟现实实训、远程监测和远程控制三个系统进行设计和制作。取得多项创新性成果：授权发明专利、实用新型专利、软件著作权各1项，公开发明专利5项，受理实用新型专利4项，发表学术论文4篇，获得省级“挑战杯”特等奖等5项奖励。虚拟实训、远程监测、远程控制，三位一体，虚实结合，全面监控，主动服务，环保高效。
电动汽车的新“跑鞋”,机械与控制,同济大学,分布式驱动电动汽车作为未来电动汽车发展的前沿方向，目前在其产业化道路上面临的主要问题是过高的系统成本及现有分布式电驱动系统总成较大簧下质量导致较差的平顺性与接地性。本作品提出一种一体化结构方案，较好地解决了分布式电驱动总成较大簧下质量导致的车辆平顺性与接地性恶化问题，此外还创新性地将轮边电驱动系统与悬架进行了一体化设计，提升了电动汽车系统集成度，降低了制造成本，提升了系统互换性并节约了轮边空间。
三维直线超声电机精密平台,机械与控制,南京航空航天大学,三维直线超声电机精密平台由三个轴组成，每个轴均由一个位移分辨率达到50nm的V型直线超声电机驱动，控制精度为0.36μm。提出了半柔性夹持设计，大大提高了V型直线超声电机的稳定性及实用性。应用三维直线超声电机精密平台成功进行了数次细胞穿刺实验，结果验证了本作品的科学性及实用性；本作品更是填补了国内实用三维直线超声电机精密平台的空白。
智能巡逻机器人,机械与控制,哈尔滨工程大学,本作品实现一种可用于室内外环境的智能巡逻机器人。巡逻机器人可按预设轨迹运行或人工遥控运行。并运用其自身携带的前端传感器、视频监控传感器、声音监控传感器、温湿度传感器、烟雾报警传感器、双向对讲系统等完成远程监控和日常巡视任务，而且监控中心可对巡逻机器人实时跟踪。智能巡逻机器人适用于普通地形环境，全天候24小时自行监控，以及适用恶劣环境代替安保人员执行安防任务。
一种手动多功能破拆装置,机械与控制,西北工业大学,本作品是将手动千斤顶作为基本动力，通过多杆机构的增力效果将千斤顶的作用力进一步增大，再由可以快速更换的执行机构将作用力输出，从而实现剪切，撑胀和挤压等功能。该破障工具可以剪切钢筋，撬开紧闭的车门、房门，也可以作为通道支撑工具以方便对幸存者的营救工作。所以可以广泛的应用于地震、交通事故、火灾等各种灾难救援中。
基于双因子身份识别多模式复合通信矿井安监定位管理系统,信息技术,西安电子科技大学,本作品针对我国煤矿生产中广泛存在的管理混乱、准入制不严格、井下安监设备功能单一等问题，基于特征辨识、多模式复合通信及井下人员区域定位等技术，实现贯彻领导带班下井责任制；保障突发情况矿井通信畅通；确保灾后可依据定位信息及时救援，杜绝矿难伤亡人员数字瞒报等目的。系统核心技术：特征辨识、多模式复合通信，经行业机构鉴定，属于国内领先水平，可解决煤安方面的突出问题，推动煤采行业科技进步。
移动端云计算虚拟三维效果展示,信息技术,北京航空航天大学,随着计算机领域的不断发展，应用计算机已经不仅仅的局限在平面的显示方式，作为移动端的手机，在三维视觉效果的推广和普及中，具有更为强大的市场。本项目采用OpenGL作为底层接口工具，利用Unity3D作为虚拟现实场景的构造与渲染，并且运用在大学生创新计划中孵化的专利技术以及云计算作为视觉效果的数据处理方案，大大增强了移动端的虚拟三维视觉效果的视觉体验。
交互式声光显示屏,信息技术,大连理工大学,本作品创造性地设计出了一种无需专用传感器的触控LED点阵，加入发声装置实现了一款交互式的声光显示屏。通过对LED发光二极管的原理和特性进行深入分析和试验验证，发现了光照强度对LED发光二极管PN结中等效电流源的影响，结合PN结的结电容可存储和释放电荷的特性，实现了无需专用触摸传感器实现LED屏触摸检测的方法。
嵌入在移动网中的高精度定位导航系统,信息技术,广东工业大学,本作品以差分GPS（DGPS）、实时动态差分法（RTK）为技术基础，提出嵌入在移动网络中的高精度定位技术，借助手机移动网络传输卫星原始数据及其修正量并交由移动终端进行数据处理，从而实现米级以下甚至厘米级的定位精度，具有高精度和成本低廉两大优点，是目前最便宜、覆盖范围最广的系统，同时也是目前手机定位精度最高的系统。本作品已获专利两项，技术转让协议、科技查新报告和广东产品质量监督检验研究院报告各一份。
智能跟随载物车,信息技术,长春理工大学,本作品设计并实现了一种能够自动跟随主人的智能载物车系统，在单片机上完成无线通讯、超声波测距及电量显示等功能。通过安装在载物车顶部的无线电装置和超声波传感器，可实时感知载物车与主人的方位信息，并反馈给单片机用于控制电机的转速与小车的转向。电池管理系统进行充电控制及电量管理。基于超声波四点定位系统的设计使载物车能全方位转弯跟随，且载物车具有红外避障功能，使其跟随目标更加准确和智能化。
多媒体教学用光电鼠标笔,信息技术,济南大学,本作品针对普通黑板、传统多媒体教学设备教学中存在的不足，以无线传输技术为基础，通过鼠标外形设计和快捷键整合技术制作了多媒体教学用光电鼠标笔，该鼠标笔除了具备移动、翻页等基本功能外，还具有像粉笔一样在投影屏幕上写字、重点标画、擦除等功能，实现粉笔、鼠标功能的有效结合。该作品将普通投影仪改造成具有一定白板功能（例如可在屏幕上写、画等）的设备，增强了现有多媒体设备的教学功能，并能节省大量的教学经费投入。
基于nRF2401的藏区智能蔬菜大棚管理系统,信息技术,西藏大学,为实现对藏区蔬菜大棚的智能管理，我们设计了能够智能监控大棚内相关指标的管理系统。本系统基于nRF2401无线传输模块、单片机、语音电路、LCD显示屏、传感器等完成硬件的搭建。软件平台在硬件基础上，开发如下功能：实现对温度、湿度、光照强度、CO2等生长指标的监测，采用nRF2401实时无线数据传输，LCD显示，及时报警，自动补光、灌溉、通风等功能，以实现该智能蔬菜大棚管理系统。
