[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(自然科学类)[作品信息]简介
可用于油水分离和水净化处理的双层TiO2基网膜,能源化工,清华大学,我们制备出一种双层TiO2基网膜，能快速高效地实现油水分离和水净化。双层网膜的上层为TiO2负载铜网，下层为ODP修饰的TiO2负载铜网。双层网膜具有特殊浸润性，可在下层分离不互溶的油和水，实现油水分离功能；之后在紫外光照下，在网膜上层通过TiO2光催化反应降解有机污染物，实现水净化功能。这种网膜对油水分离和水净化的效果都很理想，不互溶的油和水可迅速分离，有机污染物被降解程度在2h内高达95%。
水溶性柱[5]芳烃对碱性氨基酸的选择性键合研究,能源化工,上海大学,——本论文报道了一种水溶性柱[5]芳烃（CP5A）对生物分子氨基酸的识别行为，发现了CP5A对碱性氨基酸，即赖氨酸、精氨酸、组氨酸的高选择性键合。并研究了CP5A与含碱性氨基酸残基的多肽、赖氨酸代谢产物的键合行为。此过程最主要的驱动力是主客体分子间静电作用。主客体间氢键、C?H…π相互作用及疏水作用等对键合也有一定影响。本研究对柱芳烃超分子化学的发展有借鉴意义，在生物医药领域有潜在应用价值。
无模板无有机添加剂制备分散纳米片状铂催化剂,能源化工,上海交通大学,作者实现一种无需引入任何模板和有机添加剂的方法获得分散纳米片状铂催化剂，克服了模板法和有机添加剂带来的产物破坏和污染问题，同时解决了传统电沉积法制备纳米片状铂的团聚问题。作者通过调控沉积过电位和电解液中的阴离子种类，制备获得了分散纳米片状铂催化剂。以电催化氧化氨为例，其催化活性为0.07毫安/微克，较商业Pt催化剂提高89%，较团聚纳米片提高112%，且高于文献报道的最高值（0.05毫安/微克）。
一种全新的金催化喹啉类化合物选择氢化反应,能源化工,复旦大学,"首次使用纳米金催化剂在温和条件下催化喹啉类化合物选择氢化制备1,2,3,4-四氢喹啉。这一催化还原体系对一系列喹啉衍生物以及其他含氮杂环化合物的加氢反应都表现出极高的催化活性和选择性，为其今后的工业化应用奠定了基础。研究结果表明喹啉在金催化氢化反应中起到了一种全新的自促进作用，能够极大的提高反应的活性。"
深度脱除汽油中硫化物用吸附剂的制备及其性能研究,能源化工,太原理工大学,作为硫氧化物的主要排放源之一，我国汽车的保有量正逐年快速增长，其所引起的环境问题亟待解决，对汽油进行深度脱硫也已经迫在眉睫。本作品选取分子筛作为研究对象，分别对其进行了酸改性（氢离子）、过渡金属离子（铜离子和镍离子）和稀土金属离子（铈离子）改性以及酸和金属离子的逐级改性，制得了一系列不同类型的吸附剂。在由噻吩和环己烷所配制的模拟汽油中，用静态吸附实验考察了上述的脱硫性能。
新型铜催化脱羧合成非对称共轭二炔的方法,能源化工,中国科学技术大学,本作品发展了一种新型铜催化通过脱羧偶联的方式高选择性构建非对称共轭二炔的方法。与已有方法相比，本方法使用了便于操作的原料，原子经济性好，更符合绿色化学要求。且本方法的交叉偶联与自身偶联的选择性好，底物适用面宽，可以实现高选择性高官能团兼容性的非对称共轭二炔的合成。
新型吲哚类化合物的绿色合成及结构修饰,能源化工,江苏师范大学,"本作品首次设计了三种新型功能化吲哚杂环，分别高区域特定性地构建3,2’-双吲哚、3,3’-双吲哚、3-烷氧基吲哚结构。1.结构上，设计了全新的吲哚杂环，为新药研究提供活性母核结构。2.合成路线上，探索出全新的区域选择性的三组分串联反应，为今后复杂含氮杂环的合成设计提供了有效且可靠的合成方法。3.组建一系列吲哚化合物库，产物分子具有很高的底物多样性。4.高的区域选择性和基团耐受性。"
高显色白光LED用发光材料的合成与性能研究,能源化工,温州大学,本研究针对黄蓝二基色白光LED由于缺少红光成分，在低色温区（2700～3000K）显色性偏低（显色指数Ra低于70）的问题，设计并实施了三种解决方案：1）使黄色荧光粉发光波长红移；2）在黄色荧光粉中加入我们合成的红色荧光粉；3）制备了发红光的透明玻璃取代现用的环氧树脂。我们共合成了4种高显色白光LED用的发光材料，在保持光效与降低色温的同时，有效地提高了白光LED显色指数。
SiC/TiO2结构与功能仿生型纳米骨骼材料的研制,能源化工,浙江理工大学,由于交通意外，运动创伤，社会老龄化等问题的增加，世界范围内对人工骨骼材料的需求与日俱增。为了解决已有人工骨骼材料的缺点。基于结构仿生与功能仿生原理，本研究通过水热合成和磁控溅射相结合的方法制备出了多级有序SiC/TiO2人工骨骼材料，实现了人工骨骼材料弹性模量与人体骨骼相匹配的特点，并且解决了人工骨骼材料硬度与韧性不兼容的矛盾。因此，本材料有望成为新一代人工骨骼材料。
功能化有序介孔碳的构筑及吸附性能研究,能源化工,东华理工大学,介孔碳具有良好的吸附特性，是一种吸附性能高、选择性强和环境友好的吸附材料。本作品采用表面氧化、原位磷酸化、硝基还原和气相转换磺化等技术对CMK-3进行表面功能化改性。主要采用TEM、N2吸附-脱附等温线、FT-IR和Bohem滴定进行表征，系统研究PH、吸附动力学、吸附等温线、吸附热力学、选择性吸附及脱附和重复使用性对材料性能的影响。其中功能化后介孔碳对铀的吸附性能最大提高了351.9mg/g。
具有光、电、磁功能配合物的设计合成、结构与性质研究,能源化工,广州大学,"合成17种未见报道的新物质，成果整理成八篇英文论文，七篇已发表：J.Phys.Chem.A,2013ChemPlusChem,2013CrystEngComm.,2012Inorg.Chem.Comm.,2013J.Coord.Chem.,2013J.Coord.Chem.,2012ChineseJ.Inorg.Chem.,2013一篇投稿中"
稀土共价型纳米荧光探针的构筑及其在主客体化学中的应用,能源化工,华南师范大学,因为传统光学分子探针材料在抗背景荧光干扰等方面应用有其局限性，而三价稀土元素由于具备锐线发射、寿命长、谱峰范围广等独特的发射性质成为本研究的焦点。申报人利用酰胺键将稀土铽配合物共价连接于石墨烯上，合成了具有绿色发光的纳米探针，并实现了在水溶液中通过光学/电学信号的双重变化来识别次氯酸根离子。此外还将稀土配合物共价引入二氧化硅，构筑了一系列对色氨酸有识别效应的球状纳米结构的荧光探针。
新型复合光催化剂的合成及光催化降解有机染料性能研究,能源化工,南昌航空大学,近年来有机染料污染日益严重，光催化降解有机染料污染是目前的研究热点，但大多光催化剂存在催化效率低、太阳能利用率低等问题。针对上述问题，采用高温固相-溶胶凝胶联合法制备异质结催化剂和共沉淀-光还原法合成Pt修饰的水滑石催化剂，并采用XRD、SEM等对其表征。光催化降解有机染料的实验表明该催化剂具有优异的催化性能。研究结果发表在一区期刊?J.Hazard.?Mater.和Chem.Eng.J.。
NOx和Soot同时去除的新型催化剂及反应机理研究,能源化工,辽宁石油化工大学,大气中的NOx和PM2.5对环境和人的影响越来越大，前为止汽车尾气中的NOx和PM2.5的同时净化仍然是难题，国际上仍继续在探索既经济又高效的净化措施。本项目开发的能同时去除NOx和PM2.5的新型催化剂具有反应温度低、温度窗口宽、抗硫中毒能力强、成本低、不易造成二次污染等优点，有望在汽车尾气和发电厂中得以应用。
三维氧化镍/硅酸镍纳米复合材料的合成及其作为锂电池负极材料的电化学性能研究,能源化工,东北师范大学,通过溶剂热法和退火热处理合成了具有多级结构的氧化镍/硅酸镍纳米复合材料，由厚度仅为15nm纳米薄片自组装而成。作为锂电池的负极材料，该复合材料表现出比硅酸镍纳米花更高的放电容量和更佳的循环稳定性。在此研究工作的基础上，我们又开展了以花状硅酸镍纳米材料为催化剂载体的催化体系的研究，将高度分散、粒径可控的Au纳米粒子负载到硅酸镍载体上，Au/NiSiO纳米复合物表现出良好的催化活性和稳定性。
脉冲电流对GH4049合金再结晶行为的影响,能源化工,东北大学,本论文旨在寻找一种解决难变形高温合金变形难问题的途径，并通过研究为其他难变形合金解决难变形问题提供一种新的思路。利用脉冲电流这一新的能量形式，降低高温合金的再结晶激活能，进而降低其再结晶温度，降低温度区间的下限。进而解决高温合金变形难的问题。
钙钛矿型镧锶钴氧分级介孔纳米线锂空气电池电化学性能与机理研究,能源化工,武汉理工大学,利用多步微乳液法结合退火处理，合成钙钛矿型镧锶钴氧分级介孔纳米线。该纳米线由纳米短棒交错搭接而成，具有高比表面积、连续的氧扩散通道和更多催化活性位点。该纳米线氧电催化性能优异，基于其组装的锂空气电池具有超过11000mAh/g的超高比容量，是目前商用锂离子电池的近百倍；同时利用原位透射电镜技术结合配位场理论，分析了锂空气电池及其催化剂反应机理。
M5锆合金马氏体热稳定性研究,能源化工,西安工业大学,锆合金是核电领域中的关键材料，主要用于核反应堆堆芯的燃料包壳管除了要求其具有高的力学性能和抗腐蚀性能外，良好的热稳定性对于反应堆的安全运行有着非常重要的意义。本文对920℃淬火、610℃回火8h的M5锆合金分别进行600h、1000h和1700h的老化试验，对老化后的试样进行金相组织的观察、显微硬度测试、室温和高温环向拉伸力学性能测试及断口形貌观察，并和老化前的组织和性能进行对比。
碱性阴离子交换膜燃料电池阳极的水管理,能源化工,天津大学,碱性膜燃料电池具有排放低、功率密度高、启动迅速的特点，在降低成本和提高耐久性方面有较大潜力，有望成为可持续发展的绿色动力源。目前国内外相关研究主要集中在碱性膜材料、催化剂材料和氢气替代燃料方面，水热管理方面的研究仍然很少。最近的材料开发和测试结果已经为下一步的水热管理研究提供了物性、工况、性能等重要参数和依据。因此，本小组成员在此契机下开展了新型碱性膜燃料电池水管理的研究工作。
微波处理石油污水的实验研究,能源化工,中国石油大学(华东),为了探究微波处理石油污水的作用规律，对微波处理低含油O/W型乳化液进行了系统的实验研究。通过单因素实验，研究了微波辐射功率、脱油温度、含油率、水相酸碱度、离子化合价和水相矿化度对O/W型乳化液脱油率的影响规律；采用均匀设计实验方法，研究了乳化液脱油率与微波功率、脱油温度、含油率之间的关系，并拟合出相应的经验公式；总结出了微波处理石油污水的最佳方案，为微波技术在石油污水处理领域的应用提供了科学依据。
分等级结构硫族化合物微纳米材料的合成与性能研究,能源化工,许昌学院,过渡金属硫族化合物具有特殊的物理化学性质，在锂离子电池阴极材料、催化剂、半导体材料、电磁材料、光学材料等高科技领域具有不可替代的重要性。本作品首次以具有三维网状结构的泡沫镍或泡沫铜为基底，通过调整反应溶剂体系、反应温度和时间，以获得具有特殊形貌的镍基或者铜基硫族化合物，发挥其小尺寸效应、表面效应、量子尺寸效应，从而获得具有卓越电化学性能或者催化性能的微纳米材料。
新型非ATP竞争性FGFR1抑制剂的设计、合成及抗肿瘤活性研究,能源化工,温州医科大学,FGFR1（成纤维细胞生长因子受体）是抗肿瘤的重要靶点，其抑制剂可以作为抗肿瘤药物，但现有的抑制剂属于ATP竞争性抑制剂，副作用大；本课题利用计算机辅助药物设计技术（CADD）设计和合成了一类能选择性抗肿瘤的新型非ATP竞争性FGFR1抑制剂，并通过体内外实验来验证了部分化合物的抗肿瘤活性及体内安全性。
新型绿色双水相体系的构建及在痕量内分泌干扰物测定中的应用,能源化工,长安大学,本课题深入研究了新型吡啶类离子液体-盐双水相体系的液液相平衡行为及其分相能力，为进一步研究与应用提供了充分的理论依据。在此基础上构建了离子液体-盐双水相分离富集新体系，并将其与高效液相色谱联用测定环境中邻苯二甲酸脂类内分泌干扰物。结果表明，该方法具有高效、快速、环境友好等特点，在微/痕量内分泌干扰物分析化学方面具有良好的应用前景。
新型油污吸附材料——弹性碳泡沫,能源化工,江西师范大学,本作品提出通过直接碳化聚合物泡沫来制备弹性碳泡沫（ECF）材料的新概念，采用直接碳化低成本、商业化的三聚氰胺泡沫的方法，制备出一种新型的具有三维网络结构的ECF，并阐述了ECF的弹性机理。同时，本作品还详细阐述了ECF的性能特征，包括优异的弹性、高孔隙度、低密度、较高的比表面积、疏水和优异的油污及有机溶剂吸附性能，并着重研究了其在油性有机物吸附方面的应用。
有序介孔材料钴基催化剂的CH4/CO2重整活性及积炭行为研究,能源化工,内蒙古大学,本次实验以大比表面、高热稳定性的有序介孔材料为载体，制备钴基介孔CH4/CO2重整催化剂，寻找最佳的载体，同时与传统的钴基非介孔负载催化剂进行比较，考察负载型钴基催化剂的高温稳定性、催化活性和抗积碳性能，对所得催化剂的性能和稳定性进行表征，为有序介孔钴基催化剂CH4/CO2重整反应机理和金属载体相互作用和反应过程中不同介孔材料对催化剂传质行为、积碳消碳行为的影响研究提供一些科学数据。
荧光碳量子点的电化学制备及性质研究,能源化工,北京师范大学,通过电化学方法，在NaOH溶液中采用循环伏安法电解石墨棒，得到了水溶性的荧光碳量子点，对其性质和结构进行了表征，并对其制备及发光机理进行了探讨。该量子点在400nm和540nm处具有两个荧光发射峰，且通过改变电解条件（反应时间）可以调节两个发射峰的相对强度，从而得到发不同颜色荧光的碳量子点。有望将其应用于生物医学领域。
含稀土脱硫剂深度吸附净化汽油中微量硫,能源化工,南京工业大学,本作品《含稀土脱硫剂深度吸附净化汽油中微量硫》主要考察了稀土元素La修饰的Cu+-13X分子筛对模拟汽油中3-甲基噻吩和苯并噻吩静态，动力学以及动态的吸附性能，研究了稀土元素La的载入对Cu+-13X深度吸附脱除汽油中硫化物的影响，并建立合适的能够描述该过程的吸附模型，以期为吸附脱硫工艺的中试及工业化设计提供基础数据。
高分子的pH响应性能及其对抗癌药物的控制释放,能源化工,天津理工大学,通过原子转移自由基聚合合成了一系列直链型和星型高分子，再通过三步反应得到最终的新型高分子。一系列的表征表明成功合成。基于高分子的pH响应性能，将高分子用于药物载体，模拟体外释药结果表明载药效率相当出色。
U(Ⅵ)的吸附、富集及其手性螺旋配位聚合物的合成与光学性能的研究,能源化工,湖北大学,利用可溶性和不溶性腐殖酸对U(Ⅵ)进行了吸附研究。确立了吸附的最佳条件，得出了吸附热力学和动力学方程。在吸附-富集基础上，以二氧化铀为原料，由非手性配体合成出手性螺旋结构的配位聚合物单晶，其显示出特有的光学性能。为核废物的安全应用提供了可靠的基础数据。实现了化学、地质学和环境科学的有效结合。体现了研究工作的一体化和深入化。本作品的相关工作属于国防基础应用研究项目，已通过核工业部的检查验收。
高级氧化技术处理有机废水的研究,能源化工,石家庄经济学院,随着工业产业的高速扩张，被污染的水资源中含有高浓度有机污染物，本组实验重点研究Fenton试剂、光催化、超声波及其耦合技术处理实际油墨废水和实际制药废水，最佳COD去除率达91%以上，实验出水COD更是低至43.8mg/L。取得了很好的处理效果，每处理单位体积的污水在达到同样去除效果的同时将节约40%的药剂投放量，研究结果具有极大的工程实用参考价值。
天然高分子改性纤维素纳米纤维的制备及其生物医用特性,能源化工,华中农业大学,本课题利用层层自组装技术将天然高分子及天然高分子基纳米粒子组装到静电纺纤维素纳米纤维膜上，以改善他们的生物相容性，并用于生物医药领域。所选天然多糖、天然蛋白均在自然界产量较大，成本低廉，无毒无污染。制备的复合纳米纤维膜不仅对机体的毒性较小，还能有效地抑制肿瘤细胞生长，促进伤口愈合，有望在临床上得到广泛应用。
污泥菌剂强化修复四溴双酚A污染土壤的研究,能源化工,大连理工大学,四溴双酚A是使用量最大的溴系阻燃剂，类POPs特性使四溴双酚A污染位点具有很高的环境风险和修复难度。制备了含有高效降解菌的污泥菌剂，研究了其四溴双酚A降解特性及其对四溴双酚A污染土壤的修复性能。结果表明，菌剂中营养物和腐植酸促进了四溴双酚A的厌氧和好氧降解；四溴双酚A降解率可达90%；土壤脱氢酶活性提高58%。不仅为POPs污染土壤修复研究注入了新思路，而且为剩余污泥资源化利用提供了新途径
高容量MnO2/C纳米复合材料的水热原位合成、表征及其电化学性能,能源化工,遵义师范学院,"SC、LIB都是绿色环保型高性能化学电源。本作品采用水热法制得α相纳米MnO2及其与碳纳米管、乙炔黑、PTFE的系列复合材料，研究了材料结构、形貌、超级电容性能及嵌锂性能。最高比容为723.5F/g，比同类研究高～200F/g,最高嵌锂容量达1428.5mAh/g，是商业化LIB负极材料石墨理论容量的4倍。研究成果具有较好理论价值与实用价值。"
基于数字水印的声纹与人脸融合识别算法,信息技术,浙江大学,作品提出了一种声纹作为数字水印嵌入人脸图片的算法，并以此实现人脸与声纹融合的远程身份识别技术。核心部分是采用QIM算法实现大数据量的水印嵌入。算法引入纠错码机制，能较好抵抗高斯噪声，尺寸放大攻击，同时可以抵抗平滑滤波，伽马变换以及JPEG压缩。实验结果表明作品在保证生物特征信息安全性的前提下具有较高的人脸和声纹融合识别精度。本项技术为需要远程身份认证安全性的多模态生物特征识别系统提供技术思路。
病毒侵染导致水稻分蘖失控的分子机制,生命科学,福建农林大学,通过转基因方法、酵母双杂交验证和RNAi技术，首次证明水稻草状矮缩病毒（RGSV）的p3基因是引起水稻分蘖失控的关键基因，它可以与水稻的polIV蛋白结合并使之失去活性，从而降低水稻DNA甲基化程度，促进下游靶基因的大量表达，导致水稻分蘖失控的表型症状。这是病毒侵染导致水稻分蘖失控的一种新机制，具有较大的理论价值，应用到水稻育种上可以控制水稻植株的分蘖数和群体分蘖数，提高水稻的单位面积产量。
血清中卵巢肿瘤相关miRNA的筛选及其用作早期诊断指标的可行性研究,生命科学,浙江理工大学,本作品利用miRNA高通量solexa测序技术对卵巢肿瘤病人和健康人血清样本进行深度测序，获取与卵巢肿瘤相关miRNA，然后采用实时荧光定量PCR技术，系统检测不同样本间miRNA的表达差异性，检测卵巢肿瘤相关miRNA在临床样品中的表达，并结合临床诊断指标进行分析，从而筛选出可用于卵巢肿瘤早期诊断的miRNA生物标志物。
氧化亚铜纳米粒在恶性肿瘤治疗中临床应用潜力及作用机制的研究,生命科学,中国人民解放军第二军医大学,"本项目在国际上首次对氧化亚铜纳米粒在恶性肿瘤治疗中临床应用潜力及相关机制进行了系统的探讨。研究表明，氧化亚铜纳米粒可选择性诱导肿瘤细胞凋亡，抑制荷瘤鼠肿瘤的增殖和转移，提高荷瘤鼠生存率,且未表现出明显的肝肾毒性，并可被小鼠快速清除;同时，阐明了其通过靶向线粒体、启动线粒体凋亡信号通路诱导肿瘤细胞凋亡的重要机制。本项目揭示了氧化亚铜纳米粒成为肿瘤治疗药物的巨大潜力，也为肿瘤治疗提供了新的思路和方法。"
应用COI短序列片段鉴定常见嗜尸性麻蝇,生命科学,中南大学,本作品主要用于尸体死亡时间的推断。嗜尸性麻蝇种类多，有不同发育规律，记录其在尸体上的发育状况，结合其种类和发育规律，可以推断出尸体死亡时间。通常麻蝇在尸体上以蛆的形式存在，难以鉴定种类。我们运用分子生物学的方法对其种类鉴定，不断筛选后，选取COI短片段，有效地鉴定我国4种常见嗜尸性麻蝇种类，进一步完善了我国嗜尸性麻蝇基因库，为今后在实际案例中应用分子标记鉴定嗜尸性麻蝇进而推断死亡时间奠定基础。
新型聚合物功能界面的构筑及其应用,能源化工,青岛科技大学,采用化学法和电化学方法制备了石墨烯；聚苯胺纳米纤维、自掺杂聚苯胺纳米纤维、聚黄尿酸等导电聚合物复合纳米界面。探讨了不同制备方法和条件对纳米粒子大小、形貌、性能和构建纳米界面的影响。研究了纳米界面、生物分子之间的电荷传输、物质迁移特性。比较了组成、形貌、结构与膜电极性能的关系。进行了早幼粒细胞白血病的融合基因与碱基的检测。在国外分析化学与材料化学著名学术期刊上发表了3篇SCI论文。
水中机器人2D仿真水球斯诺克策略优化,机械与控制,内蒙古工业大学,根据现有的水中机器人2D仿真水球斯诺克项目比赛策略，顶球算法，基于URWPGSim2D仿真平台，提出一种新型的比赛策略和顶球算法。介绍2D仿真水球斯诺克现有的比赛策略，顶球算法，给出优化后的比赛策略，并且根据速度性和连贯性，给出一种自动换挡的机器鱼顶球算法。并且以实例对优化后的比赛策略和顶球算法进行仿真实验。实验结果表明，优化后的比赛策略和顶球算法是有效的。
智慧城市感知消防系统的研究,信息技术,广东机电职业技术学院,本文主要研究一种基于智慧城市感知消防控制系统的设计应用。首先针对现有消防系统的技术限制，充分利用物联网以及其他通讯网络等新技术，提出了增加消防探测点数量、降低组网难度、扩大系统的组网覆盖范围、突破消防系统探测点通信距离短以及实现探测器自动组网等技术方案。然后采用实验并搭建模型的方法，验证所提出的技术方案的可行性，为未来智能的感知消防系统设计提供了技术参考。
江西省血吸虫病疫区基本繁殖率阈值的研究及其信息系统的建立,数理,赣南师范学院,"本文在经典Barbour双宿主自治血吸虫病模型的基础上，考虑季节性波动对模型参数的影响，建立了随季节性波动的Barbour双宿主血吸虫病模型，得到了基本繁殖率R0。得到以下结果：当R0<1时疾病将会灭绝,当R0>1时,疾病将持久。以基本繁殖率R0的计算为理论基础，我们建立了江西省血吸虫病阈值传播信息系统。该系统的建立为血吸虫病防治工作成效提供理论依据和数据参考。"
等差项乘积的渐进估计,数理,海南师范大学,"本文研究了等差项乘积的渐进估计.首先给出了一系列等差项乘积的不等式,继而应用Euler-Maclaurin求和公式及伽玛函数的Stirling公式:,推导出了等差项乘积的较精确的渐进式,进而得到了精致化的Wallis公式."
低剂量DEHP和MEHP对睾丸间质细胞类固醇,生命科学,天津医科大学,本课题主要探讨相对低剂量的DEHP和MEHP对类固醇生成通路和细胞凋亡的作用。不同剂量DEHP和MEHP染毒睾丸间质细胞后培养24小时，测定睾酮浓度水平，细胞凋亡水平，细胞色素P450胆固醇侧链裂解酶(P450scc)、3?-羟甾脱氢酶(3?HSD)、细胞色素P45017α-羟化酶(P450c17)的基因表达及胰岛素样因子3(Insl3)的基因表达和蛋白水平。
甘草水提取物对微波辐射致小鼠精子畸变防护作用的研究,生命科学,吉林医药学院,微波技术广泛应用的同时也给人类健康带来危害，可通过产生大量氧自由基等多种机制引起机体多系统多脏器的损伤，生殖系统是微波敏感的靶系统之一。甘草作为一种天然的抗氧化剂，能清除体内的氧自由基并抑制脂质过氧化物的生成。本项目基于甘草以往的抗氧化研究，建立连续微波辐射雄性小鼠损伤模型，探究甘草水提取物对微波辐射损伤小鼠的防护作用。
金黄色葡萄球菌诱导牛原代乳腺上皮细胞凋亡的研究,生命科学,内蒙古大学,奶牛乳腺炎是该菌引起的最严重疾病之一，金黄色葡萄球菌感染乳腺后，可导致乳腺细胞凋亡甚至坏死，造成严重的经济损失。研究金黄色葡萄球菌能否直接诱导乳腺上皮细胞凋亡及其机制，对于进一步认识金黄色葡萄球菌的致病机制具有重要的意义。本研究应用金黄色葡萄球菌感染体外培养的奶牛乳腺上皮细胞，观察乳腺上皮细胞的凋亡情况，并探讨其可能的凋亡途径，为阐明金黄色葡萄球菌乳房炎的发病机制提供有益的实验资料。
电针治疗脑缺血再灌注损伤对神经系统重塑的影响,生命科学,福建中医药大学,"脑卒中，又称为脑中风或脑血管病，是一组突然起病，以局灶性神经功能缺失为共同特征的急性脑血管疾病，具有发病率高、死亡率高、致残率高及复发率高等特点，是当今严重威胁人类健康与生命的主要疾病，2004年WHO报告[1]指出全球每年约有1500万新发脑卒中患者，约500万患者发病后死亡。对于治疗机理的现代研究,近年来取得很大的进展。"
广西红豆杉紫杉烷2α-羟基化酶基因克隆与分析,生命科学,广西医科大学,红豆杉紫杉醇是具有抗癌作用的生化前物。本作品对广西红豆杉紫杉醇代谢途径中的关键酶进行克隆及相关生物信息分析，可为紫杉醇代谢工程研究奠定基础，为今后紫杉醇的生产开发提供方向，具有重要意义。
石榴皮提取物对糖尿病大鼠血糖、血脂及易感基因表达水平的影响,生命科学,新疆医科大学,糖尿病是一组由多种病因引起的代谢紊乱，其并发症引起的死亡人数在发达国家已经列第3位。新疆维吾尔族由于特殊的生活、饮食习惯及遗传因素的影响，患病率也呈上升趋势且居于全国较高水平，开展对糖尿病的防治研究已经成为医药学界的重要课题。本作品利用新疆的特色水果——和田石榴，来研究石榴皮提取物在糖尿病防治中的作用，为防治糖尿病及其相关疾病提供实验依据，为今后石榴皮有效成分的开发利用等提供了理论支持。
逆境胁迫下AtRop1诱导马铃薯H2O2产量的研究,生命科学,内蒙古农业大学,本研究实验是通过对马铃薯叶片组织在逆境胁迫下处理，测定产生H2O2的含量来反映出对逆境胁迫做出的感应现象。逆境胁迫对植物的影响的研究已引起了人们的广泛关注，但在马铃薯上的应用还未见报道。过氧化氢作为信号分子，对它在植物中的作用机制研究还有很大领域拓展。
发现两株发热伴血小板减少综合症病毒起源于基因重配,生命科学,山东师范大学,"2009年，山东等地突发一种由发热伴血小板减少综合症病毒(SFTSV)引起的新型传染病,随着感染人数和死亡病例的增加，引起了广泛的社会关注。2011年确定该病毒为布尼亚病毒科新成员。该病毒存在明显的遗传多样性，但机制尚不清楚。本作品分析了SFTSV各基因片段序列，在国际上首次发现两株SFTSV重配株，并证明重配源于S片段的交换，为SFTSV疫苗研发提供了重要信息。"
pH控制降解/组装{Sb9W21}纳米簇构筑新型钨锑酸盐簇合物,能源化工,东北师范大学,我们详细探索了分子基纳米簇合物[NaSb9W21O86]18-({Sb9W21})的稳定条件，通过调节反应体系的pH值，控制其降解，重新组装构筑了一系列含d-p杂金属簇、过渡金属功能化的新型多酸簇合物，探索出一条新型钨锑酸盐合成的新方法。并通过单晶X射线衍射分析、粉末X射线衍射、核磁、电化学等对化合物进行表征。
磁性Fe3O4@SiO2-SH的制备及富集分析环境水体中汞的研究,能源化工,鲁东大学,本论文是基于汞的污染及其危害提出的。汞在水体环境中虽然浓度低，但是对环境和人体危害极大，为此需要对其检测，然而现有的检测仪器由于受灵敏度的影响，难以测定环境中痕量的汞，需要对其富集。为此提出本课题的研究—磁性Fe3O4@SiO2-SH的制备及富集分析环境水体中汞的研究。
微孔MOFs材料的组装、磁性和吸附功能研究,能源化工,南开大学,"金属有机框架(metalorganicframeworks,简写为MOFs)由于其优良的物理化学性质受到了越来越引起人们的重视。在利用过渡离子和稀土离子的独特的电子构型的同时，需要设计合成多功能多齿配体以使其具有良好的拓扑结构，进而使其获得良好的实用价值。"
微发泡LDPE复合材料发泡行为的研究,能源化工,贵州师范大学,以化学发泡注塑成型技术为主线，在二次开模条件下制备微发泡低密度聚乙烯复合材料；通过材料的本征特性分析弹性体对微发泡低密度聚乙烯复合材料发泡行为的影响规律。结果表明:低密度聚乙烯中，随着弹性体含量的增加，发泡质量不稳定，弹性体含量为15%时，发泡质量理想，泡孔呈规则的圆形；弹性体在其他含量下，发泡质量较差，不适合于LDPE复合材料的发泡；为高弹性发泡低密度聚乙烯制品的生产提供指导。
基于石墨烯和金纳米笼修饰的无标记型微囊藻毒素免疫传感器的研制,能源化工,云南师范大学,本文首先利用二元醇还原法合成具有独特笼状结构、良好的导电性和生物相容性金纳米笼，利用高分散的且具有巨大比表面积的石墨烯将金纳米笼固定于玻碳电极表面，并进一步固定微囊藻毒素抗体构建了无标记型免疫传感器，利用电化学探针[Fe(CN)6]3-/4-实现对微囊藻毒素灵敏快速检测。实验结果表明，石墨烯和金纳米笼修饰电极具有灵敏度高，选择性良好，检测下限低等优点。此外，该传感器制备操作简单，稳定性好。
几类有机分子对离子液体结构和性质的影响研究,能源化工,昆明理工大学,离子液体具有熔点低、不易挥发、良好的导电性和溶解能力强等一系列优良性质而使其广泛地应用于材料制备、金属电沉积、有机合成以及燃料电池等领域。然而在离子液体合成和纯化过程中残留的有机溶剂和副反应中生成的其他有机杂质会极大地影响离子液体的结构与物理化学性质。本作品采用分子动力学模拟方法系统地研究了乙腈和甲醇对烷基咪唑离子液体微观结构与物理化学性质的影响。
丁二酸酐改性玉米秸秆吸附阳离子翠蓝,能源化工,大连工业大学,本课题以二甲苯为溶剂，三乙胺作催化剂，采用玉米秸秆为原料与丁二酸酐反应制备吸附阳离子染料的吸附剂，通过静态吸附法实验考查得出此改性玉米秸秆吸附剂具有吸附效果好、吸附量高、pH适用范围广、产品可再生等优点。利用该吸附剂处理染料污水，具有成本低，适用性广，使用后无废弃物的特点。该课题为玉米秸秆工业利用提供理论依据，解决了大量未利用秸秆的出路问题，符合循环利用的经济理念，达到以废治废的目的。
无砟轨道沉降监测系统光斑中心定位技术研究,机械与控制,兰州交通大学,"无砟轨道是我国高速铁路的主要道床形式，是保证高速铁路安全运营的重要基础。在长期运营和气象灾害后无砟轨道易出现沉降，而高速铁路对无砟轨道沉降要求极其严格,其工后沉降在设计使用年限内不大于15mm。为了实现无砟轨道表面沉降的在线监测，建立了图像式表面沉降在线监测系统，并对该系统的组成结构、图像预处理措施、激光光斑精确定位方法进行了研究。"
