[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
乳制品安全危机背后的“信任力量”,社会,中南大学,本项目立足于乳制品“信任危机”，以消费者信任为切入角度，通过定性与定量相结合的方法，探索乳制品消费者信任的提升之道。在调查过程中，项目团队对乳制品消费者消费信任的现状进行了全面、系统、客观的展现，分析了影响消费者信任的多维因素，对乳制品生产流通过程中各相关主体的作用机理进行了深入剖析与讨论，并针对存在的问题和问题产生的原因提出了独到的见解，以重塑信任为纲领，破解乳制品安全危机。
社会工作视角下寄养家庭现状分析及问题研究,社会,郑州大学, 2000年以来，各地民政部门按照全国社会福利社会化会议的精神，结合本地实际，大力推动家庭寄养工作。河南省郑州市儿童福利院在2008年年底开始全面推行家庭寄养工作。本调查报告通过对郑州市三十里铺村进行问卷调查与访谈，深入了解寄养家庭当前生活现状及面临的问题，并对引发这些问题的原因进行客观详尽地分析，最终提出相应的建议，希望能够推动家庭寄养工作的有效开展，最终促进寄养儿童的健康成长。
生命不能承受之痛 : 关于失独现象的调研报告,社会,曲阜师范大学, 目前，失独者对多数人来讲还是一个比较陌生的词汇，国家对此的研究也几乎处于空白，然而此类家庭却以一个较高的比例逐年上升。 本作品通过调查“失独者”需求引起社会群体关注，分析失独者的现状并对结合其生活环境进行对比分析，保障失独父母的晚年生活，同时关注失独群体的心理健康，为其提供心理救助和精神支持。并基于现在的基本国情及山东省现状，提出参考建议和对青年大众发起公益倡议。
生命周期视角下群体性上访中关键性少数的调查研究与仿真分析,社会,东北财经大学,本文调查了C市高架桥挡光引发的群体性上访事件。文章采用判断抽样、人格量表和深度访谈，调查政府人员及上访居民近70人。本文的创新之处在于从时间维度给出群体性上访事件周期划分标准，分析了关键性少数在各阶段的作用；在空间维度上，运用复杂系统多主体建模，结合格兰诺维特的“门槛”理论，构建了基于Netlogo的仿真平台，模拟了访民相互作用而形成群体性上访事件的过程。最后，本文结合仿真实验结果提出政策建议。
守望与期盼：西部留守儿童生存问题及社会工作服务对策研究,社会,宜宾学院,通过对西部8省留守儿童的抽样调查发现其生存面临家庭教育空缺、亲子沟通障碍、生活照料不周、被污名化等问题。守望在家的留守儿童一方面期盼能和父母团聚，感受来自家庭的温暖，另一方面也期盼着政府或其他社会组织能够针对其所面临的困境提供相应的援助。研究立足社会工作专业服务角度，从社会工作者服务过程中所要扮演的各种角色出发，将社会工作介入方法分宏观介入、中观介入和微观介入三个层面，构建留守儿童服务体系。
水资源极度短缺下公众节水意识与节水行动的研究,社会,华东理工大学, 水是人类赖以生存的基础资源，而地球上可供人类使用的水资源却极为有限。我国水资源贫乏，尤其是海河流域，其经济、政治、文化地位极其重要，但缺水却已成为当地发展的主要瓶颈。公众环境意识提高，并在此基础上能动地转化为环保行为是环境社会学界公认的资源与环境保护的有效路径。环境社会学学者对公众环境意识已做大量研究，本文在此基础上对海河流域公众的节水意识和节水行为进行实证研究。
微观社会空间内的群际博弈策略,社会,北京大学,本文以人民大学东门地铁口附近的街头贩证妇女为研究对象，从空间生产理论与性别视角出发，描述贩证行为与微观城市空间结构的生产和再生产关系，并考察了假证生态圈内不同社会群体之间的互动模式。本文采取了具有鲜明生理特征的贩证妇女群体的内在视角和关注群际互动关系和策略的外在视角相结合的方式，分析该场域内不同类型的社会群体如何构建起一个相对“和谐”、平衡的生态圈，以及在何种特殊情况下该平衡会被暂时性打破。
我国中部地区老年人精神健康调查研究,社会,安徽师范大学,随着我国人口老龄化的不断加速，老年人精神健康问题愈发受到关注。为探索我国中部地区城市老年人的精神健康状况，从不同养老方式层面提高老年人精神健康水平，开展此项研究。调查发现，家庭难以满足老年人文化娱乐生活，社区忽视满足老年人精神需求的责任，机构缺乏对老年人的情感沟通与陪伴，本研究从这三个方面入手，相互借鉴各种养老方式的优缺点，构建科学合理的精神健康社会支持网络。
物质性融入与社会性漂泊：老漂族城镇化困境,社会,华中科技大学,老漂族是在我国三农问题和城镇化背景下产生的一个新群体，具有社会关注度高、矛盾突出等特征，逐渐成为一个不容忽视的群体。本文基于对武汉市1000位老漂族的调查，归纳其群体特征，描述其城镇化状况，分析其城镇化困境的原因。同时，介绍武汉市政府推动公共服务惠及老漂族的制度建设经验，总结本团队志愿组织微观扶持机制的实践经验，并结合我国城镇化背景对老漂族问题做进一步思考。
西部地区社会主义新农村建设发展状况探究,社会,广西师范大学,顺应中共中央建设社会主义新农村这一战略决策， 社会主义新农村建设在全国上下如火如荼开展，但越来越多的问题开始出现，成为制约“瓶颈”。因此，本课题以西部欠发达地区广西为例，选取覆盖全区的31个社会主义新农村为研究对象，全面探索新农村建设所取得的成就、发展模式及存在的问题，为广西社会主义新农村建设提供决策参考，同时以“广西经验”为国家建设社会主义新农村的实践与探索提出预警式建议和对策。
现代化社会转型背景下的心理和谐建设,社会,湖南师范大学," 在现代化社会转型背景下，心理和谐建设显得尤为重要。而临床医生作为一个特殊的群体，他们的心理和谐与否直接影响患者的身心康复，以此作为全民心理和谐水平提升的典型研究案例，对推进民生工程和构建和谐社会具有重要意义。本课题基于自我和谐理论和积极心理学思潮,运用整群施测、个案访谈的实地调研方法，以湖南省4市22家各级各类医院363名临床医生为样本，调查临床医生心理和谐现状，探求其成因及对策。"
乡村的守望：税费改革后农村公益事业发展方式转型研究,社会,四川大学,本课题以税费改革后农村公益事业的发展情况为研究对象，通过对四川、安徽、河南、山东4个省16个县22个村的实地调查，课题组认为目前农村公益事业存在供需失衡、民主决策流于形式、筹资渠道单一、实施不力、监管缺位等问题，并结合当前农业农村经济发展实际，提出农村公益事业应从战略转型、决策转型、筹资转型、监督转型、评价转型五个维度进行转型和发展，研究结论具有在全国农村尤其是农业大省推广的价值。
新生代农民工婚恋状况调查报告,社会,中国人民大学,本作品根据中国人民大学“千人百村”全国范围内的最新调查数据，结合科学的研究方法对收集到的新生代农民工婚恋状况的资料进行分析，通过对新生代农民工的恋爱情况，婚姻情况、生育观和家庭观等方面的描述，总结了新生代农民工的婚恋状况，并且结合“流动特征”对婚恋状况的进一步的分析和影响因素的探究。就此提出作者自己的思考，表达青年学生对社会问题的人文关怀。
新生代农民工心理融合调查报告：基于广州的微观分析,社会,广东金融学院,本研究旨在探讨新生代农民工心理融合状况及影响因素，以广州市为例，调查新生代与老一代农民工心理融合状况；并调查城市居民对新生代农民工认可度。得到新生代农民工在融入城市中的所遇到的障碍，并进行原因分析，同时获得有效的解决对策，为提高新生代农民工社会融合度、促进社会和谐健康发展提供科研性的参考。
新型农村社区建设在中原经济区的实践探索,社会,河南科技大学,自新型农村社区建设开展以来，各地对新型农村社区的组织、管理和服务等工作进行了大量探索，但目前政界、理论界、学界以及农民对于新型农村社区建设仍存在不同的看法，我们于2012年2月—2013年5月对中原经济区新型农村社区建设典型试点区荥阳市、宜阳县、卫辉市3县（区）的19个乡（镇）、32个新型农村社区进行了实地调查。
新医改背景下河南省新农村中医药卫生服务发展的策略研究,社会,河南中医学院,"本研究以深化医药卫生体制改革为背景，以促进发挥中医药在新农村医疗卫生服务中的作用为目的。通过对河南省农村地区历时三年的调研，发现新农村建设中中医药发展的现实问题，再以SWOT分析法对农村中医药发展影响因素进行全面深入分析，设计促进发挥中医药作用的制度框架，构建在新农村卫生服务中推广使用中医药的模式,促进农村医疗服务网络的完善，缓解农村卫生资源不足的现状，切实起到减轻农民医疗负担的作用。"
寻访快速消失的生活方式与熔铸其中的民间美术,社会,天水师范学院,甘肃丰富的民间美术资源处于濒危的境地。本研究通过广泛而长期的田野调查，保存甘肃多个民艺品种的大量信息。研究涉及甘肃民间美术的8个大类以及更多的级层与小类，重点集中于泥塑、面花、麻编、掐花、剪纸、刺绣、布艺等类别，研究融于其中的历史、思想、情感、技巧，以及活态遗存环境等问题。在此基础上，提出理论建设、传承人培养、走进课堂、产品分级、开拓中高端市场、开拓DIY市场等甘肃民间美术保护与开发策略。
寻求民间纠纷解决机制的新突破,社会,浙江工商大学,这是一支来自法学与公管的精英队伍，法学联系社会，科学解析现状。这是一个提出了自己理论的创新性项目，耗时382天，精心打造作品。这是一项已经投入使用的实践性理论，两套发展方案，务实指导基层。 我们用社会的力量解决社会问题，用法律的视角规范协会制度，竭诚为社会的和谐尽到自己的绵薄之力。
医患关系紧张原因的研究报告,社会,西安理工大学, 我国当前正处于社会转型期，医患关系存在不协调的情况。随着近年来医疗纠纷事件的增多，医患矛盾成为社会的热点问题，医患关系紧张已经深深影响到社会关系的和谐。深入研究医患关系紧张的原因，为实现人民幸福、社会和谐的“中国梦”，并提出解决医患关系紧张的政策建议显得尤为迫切。
游动的生存，不游动的生活,社会,首都师范大学,本文依据对北京海淀的18位流动摊贩的第一手访谈资料，对他们的生存状态做了深入分析，发现：现代化洪流让他们涌向城市，他们行走在城市的巷道中，挣扎在城市的夹缝里，进退两难，但他们仍在坚持，渴望获得“社会流动”。摆摊是他们的生存手段，游动是他们的生存策略。游动的是他们的摊位，不变的是他们的生活。本文反思了在城市化发展的过程中，要更加关注流动摊贩这类弱势群体的发展，让他们拥有生存的空间和改善生活的机会。
云南35岁以下青少年吸毒成因及预防对策研究,社会,云南师范大学,本次调查主要对云南省的八个州市或县进行调研，而这八个调查地点的选择主要是以213国道和320国道为主线，213国道途径昆明、玉溪、普洱到达西双版纳；320国道途径楚雄、大理、保山到德宏。故本次调研分为两组进行。通过对这八个州市或县的强制隔离戒毒所的戒毒人员和美沙酮替代门诊的治疗者进行问卷调查和个案访谈，得到两千多份问卷和一百六十多份的个案访谈记录。具体分析了其吸毒的基本状况、吸毒的原因等。
中国三大区域间收入不平等影响因素的实证研究,社会,兰州大学,本项目得到“中央高校基金基本科研义务费专项资金”资助（编号：13LZUJBWYJ026），旨在分析东中西三大区域间收入不平等的成因及这种不平等多大程度上不可避免。为此，本项目利用文献法，从《新中国六十年统计资料汇编》与《国家统计年鉴》，收集了跨度为57年的面板数据，采用随机效应模型，借助STATA软件，分析了区域间收入不平等背后的形成的因果机制，并为缩小区域间收入不平等提供切实建议。
中国微公益项目合法性调查及对策研究,社会,广州番禺职业技术学院,本作品首次基于合法性的研究视角，利用网络平台公开数据，从微公益项目的基本情况、合法性困境、合法性策略、合法性成果四个方面，采用因子分析、回归分析等实证研究方法，调查现有制度条件下微公益项目的基本现状，研究不同类型微公益项目在实际运行中遇到的合法性困境，尝试从“合法性”这个全新的研究视角中探索中国微公益项目发展的新模式。
中小城市环卫工人生存权益调查研究,社会,湖南商学院,随着我国社会主义建设事业的不断发展，城市的环境卫生建设显得尤为重要，环卫工人是环境卫生事业的主力军。然而，目前我国环卫工人的生存现状不容乐观。针对这一问题，本课题组对湖南省九县市区环卫工人生存现状进行实地调研，运用因子分析法、比较法等注重对环卫工人的人群特点、工作情况、生活水平、权益保障进行调查分析，从全面系统的角度出发，对改善环卫工人生存现状进行探讨，最终确立出相关行之有效的解决建议。
重庆市男男性行为者生存状况研究,社会,重庆医科大学,男男性行为者（MSM），主要指男同性恋者，也包括与男性发生性接触的男性异性恋者和双性恋者。由于传统观念的束缚，男男性行为者人群一直生活在社会的边缘。为了解重庆市MSM人群特别是大学生MSM人群的生存质量和社会支持现状及影响因素，探讨生存质量与社会支持的相关性，本研究调查了重庆市803名MSM。研究发现，重庆市MSM人群的生存质量与社会支持状况不容乐观，需采取多种措施提高其生存质量。
转型期乡村混混的生存机制,社会,北京师范大学,近年来，随着新农村建设和城镇化建设浪潮的席卷，在以浙东GM村为代表的工业化农村地区，乡村混混群体抓住机遇，逐渐由村庄边缘人物向村庄精英转变。本项目力图在拆迁改造的实证调查过程中，通过对乡村混混“发家史”的研究和对乡村混混在拆迁过程中与村民、外来务工人员和乡村基层组织互动模式的分析，透视转型期背景下工业化农村秩序机制的变迁，进而为政府“善治”目标的达成提供理论上的指导。
自杀，一个都太多,社会,青岛大学,自杀是一个重要的公共卫生问题，却没有引起足够关注。作品将精神医学、心理学和社会学的方法结合起来，选择济南和青岛的两家医院，获得507个通过服毒方式自杀未遂患者的样本，分析其年龄和性别特征，对47个案例进行深度访谈，进行归类分析，探讨自杀行为的影响因素和相互关系，筛选出自杀的高危人群和诱发因素。提出了预防自杀的建议，得到肯定和采纳。课题组参与了对自杀者的心理干预，并探索建立“项目+接力”式的载体。
“文化城镇化”视域下的特色民俗文化传承问题及方略研究,哲学,上海体育学院,文本研究以“文化城镇化”为视角，选定上海16项体育非遗进行个案研究，通过文献资料了解项目的历史脉络，以实地调研为基础，理论研究为辅助，根据五大环节，即调研发掘、整理保护、传人培育、改造创新、推广传播，总结16项非遗的发展现状和问题，分析其深层原因，并针对现存问题将对策分为包括管理保障在内的六大环节，提出合理可行的建议，旨在为建设具有文化内涵的上海大都市提供理论依据，为推动全国文化城镇化发展提供借鉴
《春秋》内容的图表化解析,哲学,内蒙古科技大学,《春秋》是我国最重要的学术文献之一，蕴含着丰富的礼义规范，体现了不受时间长河限制的标准。通过搜集整理，我们发现前人对 《春秋》学的研究主要集中在语言词汇、《春秋》笔法、文献学、伦理、宗教习俗以及礼制等方面，且以往大部分研究主要可能以文字解读文字的方式。在这里，我们力图以一种新的研究形式使《春秋》更加直观清晰，这是对古人“左图右书”的做法的继承。
城镇化进程中西南民族地区乡土景观变迁与保护研究,哲学,桂林理工大学,西南民族地区乡土景观具有生态脆弱性、地域特殊性和文化独立性特点，受快速城镇化进程的影响，乡土景观极易产生潜移变迁和价值弱化。本文通过对广西程阳八寨、贵州堂安侗寨和四川九寨沟进行实证研究，探索乡土景观变迁的内在动因及变迁程度，并提出针对性的对策。该研究对于保护和维持民族乡土景观具有积极意义，也有利于促进美丽中国和西部地区生态文明建设。
广西壮族山歌在新媒体时代传承与发展的问题及对策探析,哲学,中南民族大学, 本文通过对一手资料分析得出壮族山歌面临传播形式单一、传承人老龄化、新媒体在山歌传播中运用较少等问题，论证了新媒体可以运用于山歌传播并能取得更好的传播效果。据此提出：壮族山歌有必要以新媒体为平台创新山歌传播形式，同时保护山歌传承人、挖掘潜在受众刻不容缓。且文化发展离不开政府的支持和引导，壮族山歌发展应以政府为主导，以市场化、产业化为方向。
回归自然的侗傩之旅,哲学,怀化学院,本作品针对新晃天井寨侗族傩文化旅游开发起步缓慢的实际情况，运用全域旅游、慢城旅游、微旅游等新的知识方法，构建该县贡溪以“咚咚推”傩文化为特色、以旅游为主导的综合性全域旅游产业结构；创意设计贡溪--四路村—天井寨微旅游景观带，贡溪河慢城旅游景观带，设想打造融微旅游、慢城旅游和全域旅游于一身的贡溪全国性侗族傩文化精品旅游目的地等，为该遗产及其传承地的旅游开发提供一份现实可行的参考性新颖方案。
接力中国梦，推进新生代农民工精神文化建设,哲学,渤海大学, 继2011年锦州新生代农民工社会融入状况调研之后，课题组由面到线，从微观的视角，再一次对锦州新生代农民工精神文化生活状况进行深入调查分析，得出大量的第一手信息。在系统的角度下，分析现状总结问题，并给出了新生代农民工精神文化生活对策建议战略地图。
探索科学家的工作时间表,哲学,大连理工大学,通过分析科学家下载学术文献的时间来研究全球科学家的工作时间习惯。研究结果发现，不同国家的工作文化、社会因素会影响科学家的工作时间行为，科学家群体普遍存在着超时工作的现象。经常熬夜和周末加班成为了科学家的工作常态，对其身心健康产生负面影响。研究呼吁科学家把握工作和生活的平衡。论文在国际期刊发表后，受到全球科学家的广泛关注和强烈共鸣，包括Nature、《光明日报》、《中国科学报》等媒体进行了专文报道。
文化软实力背景下黄梅戏数字化保护与开发研究,哲学,安徽师范大学,本文通过分析文化软实力背景下，黄梅戏、数字化的现状，确立黄梅戏数字化的可行性与必要性。提出“3+2”数字化循环模型创新黄梅戏保护与开发。“3”是指黄梅戏数字化的三个步骤，即数字化采集和记录、处理、存储。“2”是指依托前期数字化所形成的大型黄梅戏数据资料库进行的一系列保护与开发工作。循环则体现在公益服务以及保护与开发的相互促进上。用保护项目促进开发研究，用开发的经济价值反哺保护工作。
寻找“消失的”声音,哲学,上海师范大学,本课题以现代性视域作为观照非物质音乐文化遗产的切入点，以上海六项具有音乐特征典型性、当下生态典型性的非物质音乐文化遗产的实证调查数据和素材作为主要论证的支撑依据。以哲学思辨的方式，一方面探寻其艺术演变规律，另一方面探索其在保护、传承与发展中的有效方式，试图构建适合其在当下生态条件下生存与发展的“共赢利益链”， 并对国内其他地区传统文化保护、传承与发展具较高参考借鉴价值的 “上海模式”。
中国当代大学精神调查,哲学,四川大学,大学精神是大学的灵魂所在。作为大学发展的精神支柱和动力源泉，它不仅是一种无形资产，而且还是一种规范力量。优良的大学精神一旦形成，就会在教育活动中内化为一种内驱力，推动大学和谐、健康的发展。
中医文化核心价值的社会认同研究,哲学,南京中医药大学,为探求当代人对中医文化核心价值的认知认同情况及影响因素，团队从文化、价值的新视角，用社会科学的研究方法，对国内31省（市）、港澳台及海外地区的各年龄、职业、学历人群开展大样本调查研究，准确把握中医文化在当代人中的认知认同及差异的原因，发现并总结中医文化的现实及隐含价值，从价值认知的研究中探索符合当代人认知方式的中医传承、推广和普及的科学方法，通过研究提出将中医文化作为国家政治文化和发展战略的建议。
欠发达地区非物质文化遗产保护的道路探索：发展性保护,哲学,河南大学,本作品以地处中部欠发达地区的国家级非物质文化遗产开封朱仙镇木版年画为调查对象，并结合社会转型这一时代背景，从经济、政治、社会文化、地缘等方面对其生存现状及其形成的历史现实原因进行了多维度的综合分析，指出社会转型期欠发达地区对有条件的“非遗”应重点实施发展性保护，将“非遗”保护与地方经济、政治、社会的和谐发展有机统一，注重其促进地方社会发展、弘扬优秀传统文化和推动地区经济增长等社会功用的发挥。
辽宁省滨海旅游竞争力评价,经济,渤海大学,本研究选取了旅游基础、资源实力、旅游规模、环境基础和经济实力5个一级指标及15个二级指标，采用TOPSIS法对辽宁丹东、大连、营口、盘锦、锦州和葫芦岛滨海6市旅游竞争力进行定量分析。根据评价结果对辽宁滨海6市进行旅游综合竞争力排名，并与辽宁其他区域旅游竞争力进行比较，提出建设性的决策参考意见。本研究对于辽宁沿海经济带国家战略的实施，辽宁滨海地区建设以及辽宁全省旅游业的持续发展具有重要意义。
辽宁省人口老龄化状况与居民消费水平的调查研究 ,经济,大连工业大学,20世纪70年代中国实行了与人口和经济增长相关的两项至关重要的政策：计划生育政策和改革开放政策。他们使新生儿数量急剧下降并促进中国经济持续快速上涨，于此同时人们的生活水平与医疗条件的提高和改善，使寿命逐渐延长。这两项政策在国内生产总值增长的同时，也带来了人口老龄化的出现。人口老龄化将通过消费、贸易收支等多方面影响经济的增长。本文分为四章对人口老龄化与居民消费的关系进行了详细的介绍
破解垃圾围城,管理,广东技术师范学院,为形成严谨的调查报告，调查过程中调查人员采用了摄影、访谈、问卷、走访等多种调查方法。调查报告的背景从时政入手，落脚十八大，调查现状结合问卷数据，图文并茂。调查人员综合国内外经验，对垃圾分类遇冷的原因进行了客观分析，并且从教育为本的理念入手，在“大手拉小手”的理念中创造性提出”小手拉大手“的建议措施，并从社会学、心理学探究到理论依据，希望此次调查分析能为广州市破解垃圾围城、建设生态文明略尽绵薄之力。
故黄河睢宁段沿线生态旅游开发的思路设计,经济,江苏师范大学,作品基于生态文明理念，对苏北故黄河睢宁段自然环境、经济社会和地域文化等系统研究，得出故黄河流域开发具有优势与劣势以及面临机遇与挑战，综合运用地理学、旅游学、规划学方法对区域进行主体功能区划，提出综合开发空间结构形式，并设计出可行开发项目。以期通过作品探索生态旅游与区域开发相结合达到生态经济社会协调发展的新模式，也为我国故黄河沿线生态旅游开发乃至社会经济发展提供思路借鉴。作品内容见文档，PDF打开。
江苏品牌战略研究,管理,金陵科技学院,研究是在江苏从“投资驱动”向“创新驱动”转型发展的这一个宏观背景下，基于企业知识产权角度对江苏企业品牌现状的分析调查，结合我省创新驱动的发展思路，以企业品牌创新缺乏知识产权支撑、企业专利中发明较少等问题为出发点，以企业知识产权战略促进品牌创新为重点，用定性和定量的研究方法，开展对江苏品牌战略的研究分析。最后得出的研究成果希望能为未来我省促进企业品牌创新的战略途径提供有价值的意见和建议。
文化植物，待唤醒的独特文化载体,管理,广东技术师范学院,本作品以文化植物为调查对象，以广州市白云山风景名胜区八大功能区为调查基地。作品内容以调研所得信息为基础，通过列举典型案例的形式，分析广州市白云山风景区内文化植物的生长和发展情况，勾勒出景区内文化植物保护和开发的现状；并提出四大创新发展点，为国内其他风景名胜区的文化建设提供参照等。本项目在调研过程中，先后得到广州市委宣传部、白云山管理局、《信息时报》等多个部门的肯定和大力支持，社会效益明显。
上大学，值吗？,教育,河南农业大学,针对近年来大学毕业生就业形势日益严峻、社会上出现的“读书无用”的论调，本团队对郑州部分企事业单位及政府部门进行抽样调查，对大学毕业生的情况做出了全面系统的调研，并运用Logistic模型分析得到大学教育对个人10个方面因素的主次影响，提出了加强当代大学生MICCP教育（品德教育、观念转变、创新培养、师生交流、社会实践）的五项建议，为当代大学生更好地适应社会需要，全面提升素质具有重要的意义。
聆听微小的呼声,社会,河南农业大学,为实现儿童福利机构和高校社会实践工作的有效结合，促进河南省儿童福利事业的发展，让福利院的孩子得到更多人文关怀，本团队利用高校寒暑假社会实践活动，在对河南省郑州市、焦作市、南阳市、濮阳市、新乡市儿童福利院进行了深入调研的基础上，建立了大学生志愿服务福利院儿童的机制，构建了将高校资源供给和福利院儿童需求有效对接的平台，并将该机制付诸于实践，为促进河南儿童福利事业的发展提出了新的思路。
建筑废弃物循环再利用的商业运作模式,经济,广州大学,本课题致力于广州市建筑废弃物商业运作模式的研究，课题针对广州市废弃混凝土和废弃砖块等主要废弃物排放量，处理现状和存在的问题，以及与其循环再利用相关的政府部门、企业、技术、设备、产品、市场进行了一系列广泛而深入地调查研究，从中发现与分析问题，同时探寻文献和追访国内其他城市的典型经验。在此基础上设计出广州市建筑废弃物循环利用的商业模式——“专业化技术+系统集成服务+多方战略合作”。
遗忘的契约,法律,辽宁大学,本文基于对某高校500名在校大学生的调查，从三个维度：对宪法的总体印象、维权意识、现状成因，对该校大学生的宪法意识进行了研究。运用SPSS和EXCEL等工具分析数据，并从四方面进行描述性分析：概况户籍类别学科类别性别。力图探寻大学生宪法意识薄弱的原因，寻找强化大学生宪法意识的对策。
保障生存，改善民生,社会,辽宁大学,党和国家提出要加强民生建设，社会保障是最基本的民生工程。本作品采用实地调研的方式，在尹家乡进行实地调查，获得第一手数据资料，并将得来的数据导入spass软件进行频数统计分析和因子分析，并按得分加权计算民生指数。同时参考国家统计局关于小康社会指标体系，构建出了“农村居民民生指数指标体系”。通过这些调查和分析，我们也提出了相应的政策和建议，这也被相关部门采纳。
医学生人文医学执业技能培养模式研究,教育,河南中医学院,首先进行了人文医学执业技能相关概念的阐述，然后就存在的问题、原因、现状进行了分析，最后提出了相关建议，采用了提出问题--分析问题--解决问题的三段式段落解构。作品研究内容资料详实，逻辑结构合理，数据分析较为客观准确，格式规范。对高等中医药院校构建合理的医学人文课程，拓宽人文医学执业技能培养途径有着较强的借鉴意义和现实意义。
建筑废弃物资源化和减量化的立法规制,法律,青岛理工大学,研究建筑废弃物的定义、来源、产量、组分、危害以及资源化综合利用的关键技术；通过查阅文献资料和对青岛市的实地调研，分析、对比和研究我国建筑废弃物处理利用的现状、存在问题和国内外立法的先进经验；概况总结建筑废弃物减量化和资源化利用的相关法律制度；找准立法的基点、重点和难点，结合我国实际，对建筑废弃物的资源化和减量化提出立法建议。
经济地域性状与小微企业法律体系构建,法律,青海民族大学,在青海这样的经济落后地区，小微企业在促进当地经济发展和提高就业率等方面具有不可或缺的积极作用，文章中作者分析了青海小微企业的地域性特征及其发展的困境，并探讨了保障小微企业发展的法律体系构建等问题，以期对青海省乃至西部地区保障小微企业发展、完善我国小微企业法律体系等方面通过一定的理论意义。提出的对策建议对青海省具有针对性和可行性，有一定的学术价值。
矿产资源开采对草原生态环境保护和牧民利益的影响,法律,内蒙古大学,我课题组2010年9月申请国家创新性实验计划项目立项，题为“法学视角下草原生态保护与矿产资源开采的冲突与协调——以西乌旗为例”。我组在申请立项后曾多次进行小范围、小规模的调研，前往锡林浩特、西乌旗和赤峰等地，对当地的白音华煤矿、北煤矿、富生矿业等大小六个煤矿进行了调研问卷，并走访了相关政府部门和当地群众。经过调研，最终确定以“矿产资源开采对草原生态环境保护和牧民利益的影响”为题撰写调研报告。
美丽乡村：法治视野下农村环境问题及保护对策,法律,湖南师范大学,建设美丽中国是所有中国人的梦想，而美丽中国的建设离不开乡村环境改善。本文以湘中地区的三个“环保村”和六个环境污染较严重的行政村为研究对象，分析了湘中地区农村环境存在的问题，明确了农村环境保护法治建设的缺陷，并从法治角度提出了可行性建议：一是在立法内容上提出明确公民的环境权；二是在行政执法上推广“四分化”模式；三是在司法制度上深化司法调解和公益诉讼机制；四是提出普法与经济社会发展同步并行。
少数民族移民区纠纷解决机制研究,法律,北方民族大学, 少数民族移民区的建立，是地方积极落实中央坚持以邓小平理论和“三个代表”重要思想，坚持以人为本，科学发展观的重大举措。宁夏回族自治区红寺堡生态移民区就是一个典型少数民族移民区。调研小组将针对宁夏回族自治区红寺堡生态移民区的纠纷解决现状和问题，深入剖析红寺堡生态移民区的纠纷解决方式和社会效果，探究少数民族移民区存在的独特纠纷解决方式及其仍存在的实际问题，分别提出解决方案和政策指导性建议。
用法律温暖无助的心,法律,南京师范大学,从法律援助对象（农民工）与法律援助主体（政府与高校）两大视角分析农民工法律援助“需求与供给”的契合与落差；总结法律援助的现有成就与经验，概括法律援助工作困境的成因；针对性地提出解决措施，并创造性地提出在“政府主导，社会参与”的前提下，发展壮大高校法援力量，从而更好地协助政府开展农民工法律援助工作；所提建议具有较强的可操作性和实践性。
胎儿利益保护问题的研究报告,法律,上海立信会计学院, 自罗马法以来，胎儿的利益保护问题在各国的法律中都有涉及。在我国，法律对胎儿的权利保护几乎是一片空白。本文以分析34个国内外真实案例为基础，通过利与弊的考量和对其他国家的法律规定研究，在民法总则、侵权行为法、婚姻法、诉讼时效上做出相关建议，逐步完善保护胎儿民事权利立法。同时独创性的在社会保险领域提出对胎儿利益保护的建议，希望通过上述的提议，找到真正有效的途径来切实保障胎儿的利益。
网络社会中法律功能发挥的现实状况及改进策略研究,法律,河北师范大学,作品在法律功能界定的基础上，分析了网络社会虚拟性、交互性、开放性的特征及其对网络社会中法律功能发挥的影响。之后以《关于加强网络信息保护的决定》为例，通过对网络平台的调查分析、对网民的问卷调查，分析了网络社会法律功能发挥的正功能、负功能和非功能。最后提出了构建一种包括外部互动、内部互动、实施互动的互动模式作为改进策略。
我国环境管理中公众参与的调查研究,法律,武汉大学,细颗粒物（PM2.5）是一种对人体有害的空气污染物质。近些年，对于细颗粒物（PM2.5）是否进入国家环境空气质量标准引发了社会的热切关注。本作品从公民环境知情权与公众参与两个方面，对社会所关注的细颗粒物（PM2.5）相关问题进行了走访、问卷调查和分析，并在此基础上进一步对我国的环境标准制度进行了研究，并提出改进相关环境法律制度，提高环境法中的民主性的建议。
伊斯兰教在回族纠纷解决中的作用研究,法律,北方民族大学,在当前我国法治建设蓬勃发展的大背景下，各地纠纷解决机制逐步得到完善，而回族聚居地区的纠纷解决却呈现出法制大背景下的特色。伊斯兰教，在回族社会的纠纷解决中发挥着重要作用。这种基于宗教信仰为化解途径的纠纷解决模式具有鲜明的地方特色。我们通过田野调查的方式，努力挖掘回族社会中纠纷解决的方法，并对所搜集到的案例进行分析，有针对性的提出相关建议，希望可以对民族地区的法治建设、和谐村庄提供参考的作用。
南京市建筑业进城务工人员社会保险基金预扣模式实效性调查研究 ,社会,南京师范大学,全文基于对建筑业进城务工人员基本情况的了解，分析该群体面临的问题，引出了南京市对于解决此类问题所作出的创新——基金预扣模式，着重于分析该模式的运行机制及创新之处，多角度分析其带来的社会效益，就目前制度完善提出政策意见。
